laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:30 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:30 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:30 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:30 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:41 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:41 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:41 - Número do Pedido: 1111111111111
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Busca realizada com sucesso, http 200
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Conversão JSON bem suscedida
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Variáveis dos dados do pedido preenchidas corretamente
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Status do pedido alterado para: Em Calibração
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:41 - Busca concluida/encerrada
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:48 - Botão de apagar todos os dados do form pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:48 - Clicado em 'SIM' para apagar todos os dados preenchidos
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:48 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:48 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:48 - Dados apagados do Form
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:50 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:50 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:50 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:50 - Número do Pedido: 2222222222222
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:50 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:50 - Busca realizada com sucesso, http 200
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:50 - Conversão JSON bem suscedida
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:51 - Variáveis dos dados do pedido preenchidas corretamente
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:51 - Status do pedido alterado para: Não Cadastrado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:51 - Busca concluida/encerrada
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:52 - Botão de apagar todos os dados do form pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:52 - Clicado em 'SIM' para apagar todos os dados preenchidos
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:52 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:52 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 08-04-2024 11:26:52 - Dados apagados do Form
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 08-04-2024 11:26:59 - Botão de pesquisar pedido pressionado
