laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:45:49 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:45:49 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:45:49 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:45:49 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:45:49 - SISTEMA ENCERRADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:46:26 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:46:26 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:46:26 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:46:26 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 08:46:27 - Botão de apagar todos os dados do form pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 08:46:28 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 08:46:28 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 08:46:28 - Tentativa de busca de pedido com o campo vazio (não preenchido)
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:53 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:53 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:53 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:53 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 13:32:56 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:56 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 13:32:56 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 18-03-2024 13:32:56 - Número do Pedido: 2222222222222
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:32:56 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:33:02 - Erro Conexão com Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 18-03-2024 13:33:10 - SISTEMA ENCERRADO
