laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:23 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:23 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:23 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:23 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:25 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:25 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:25 - Número do Pedido: 3333333333333
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Busca realizada com sucesso, http 200
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Conversão JSON bem suscedida
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Variáveis dos dados do pedido preenchidas corretamente
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Status do pedido alterado para: Não Cadastrado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:25 - Busca concluida/encerrada
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:33 - Número do pedido anterior:  | Número do pedido alterado: 3333333333333
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:37 - Botão de cadastrar pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:38 - Cliclado em 'SIM' para continuar cadastro do pedido
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:38 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:38 - Inicializando cadastro do pedido
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:38 - Cadastro do pedido finalizado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:38 - Status do pedido alterado para: Em Calibração
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:38 - Pedido 3333333333333 cadastrado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:40 - SISTEMA ENCERRADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:45 - INICIANDO SISTEMA
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:45 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:45 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:45 - SISTEMA INICIADO
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:47 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:47 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:47 - Número do Pedido: 4444444444444
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Busca realizada com sucesso, http 200
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Conversão JSON bem suscedida
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Variáveis dos dados do pedido preenchidas corretamente
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Status do pedido alterado para: Concluído
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:47 - Busca concluida/encerrada
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:50 - Botão de pesquisar pedido pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:50 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:50 - Tentativa de buscar novo pedido
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:52 - Clicado em 'SIM' para realizar busca de um outro pedido
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:52 - Botão de apagar todos os dados do form pressionado
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:53 - Clicado em 'SIM' para apagar todos os dados preenchidos
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Status do pedido alterado para: Aguardando
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Desativando dados
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Iniciando nova busca
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:53 - Número do pedido validado, chamando funções para conexão com API
laboratorio4  |  DESKTOP-CIJ5JKO  |  Carlos Rodrigo       - 15-03-2024 14:01:53 - Número do Pedido: 3333333333333
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Inicializando busca dos dados via API Fluig
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Busca realizada com sucesso, http 200
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Conversão JSON bem suscedida
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Variáveis dos dados do pedido preenchidas corretamente
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Status do pedido alterado para: Em Calibração
laboratorio4  |  DESKTOP-CIJ5JKO  |  SISTEMA              - 15-03-2024 14:01:53 - Busca concluida/encerrada
